Console,GameName,Review,Score,Score_Category
GC,Auto Modellista Review,fair,6,Medium
XBOX,Magic: The Gathering - Battlegrounds Review,good,7,Medium
PS2,"Warhammer 40,000: Fire Warrior Review",mediocre,5,Low
PC,Riven: The Sequel to Myst Review,good,7,Medium
PS2,Bloody Roar 4 Review,fair,6,Medium
XBOX,Whiplash Review,fair,6,Medium
PS2,Whiplash Review,fair,6,Medium
XBOX,Drake of the 99 Dragons Review,abysmal,1,Very Low
PC,FIFA Soccer 2004 Review,good,7,Medium
XBOX,Spy Hunter 2 Review,fair,6,Medium
PC,"Warhammer 40,000: Fire Warrior Review",poor,4,Low
GBA,Medal of Honor Infiltrator Review,great,8,High
PS2,Spy Hunter 2 Review,mediocre,5,Low
XBOX,Spawn: Armageddon Review,mediocre,5,Low
PS2,Spawn: Armageddon Review,mediocre,5,Low
GC,Spawn: Armageddon Review,mediocre,5,Low
GBA,Crash Nitro Kart Review,good,7,Medium
PC,Kelly Slater's Pro Surfer Review,good,7,Medium
PC,Broken Sword: The Sleeping Dragon Review,great,8,High
XBOX,Robin Hood: Defender of the Crown Review,fair,6,Medium
PS2,NCAA March Madness 2004 Review,good,7,Medium
